%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
56.0, -356.63685977458954, -618.2503414750099, -2016.0753489136696, -224.27432054281235, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70759553319796E9, 0.0, 2024-02-10 15:05:33.197
56.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70759553319796E9, 0.0, 2024-02-10 15:05:33.197
0.0, -318.3402842283249, -614.8993911147118, -2071.126676261425, -209.4343975186348, 0.0, 0.0, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955332445445E9, 0.0, 2024-02-10 15:05:33.244
0.0, -347.30206948518753, -614.1813303232193, -2016.3147025108337, -226.6678565144539, 0.0, 0.0, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955332445445E9, 0.0, 2024-02-10 15:05:33.244
1.0, -343.2330583333969, -644.5792371630669, -2068.4937866926193, -239.35359716415405, 0.0, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955332591348E9, 0.0, 2024-02-10 15:05:33.259
1.0, -316.90416264533997, -627.3457781672478, -2089.3175496459007, -222.12013816833496, 0.0, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955332591348E9, 0.0, 2024-02-10 15:05:33.259
2.0, -336.5311576128006, -601.4955896735191, -2029.9578575491905, -221.8807845711708, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955332736974E9, 0.0, 2024-02-10 15:05:33.273
2.0, -345.62659430503845, -630.6967285275459, -2049.8242061138153, -243.90131551027298, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955332736974E9, 0.0, 2024-02-10 15:05:33.273
3.0, -330.7866712808609, -640.9889332056046, -2099.370400726795, -231.93363565206528, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955332743726E9, 0.0, 2024-02-10 15:05:33.274
3.0, -328.39313530921936, -608.9155511856079, -2053.4145100712776, -220.68401658535004, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955332743726E9, 0.0, 2024-02-10 15:05:33.274
4.0, -350.41366624832153, -622.0799990296364, -2032.5907471179962, -241.26842594146729, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955332879064E9, 0.0, 2024-02-10 15:05:33.287
4.0, -324.80283135175705, -641.706993997097, -2085.9665992856026, -234.80587881803513, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955332879064E9, 0.0, 2024-02-10 15:05:33.287
5.0, -315.2286874651909, -620.1651702523232, -2068.254433095455, -213.0247014760971, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707595533304098E9, 0.0, 2024-02-10 15:05:33.304
5.0, -351.84978783130646, -611.3090871572495, -2017.7508240938187, -226.90721011161804, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707595533304098E9, 0.0, 2024-02-10 15:05:33.304
6.0, -340.1214615702629, -638.3560436367989, -2059.3983500003815, -227.38591730594635, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955333189044E9, 0.0, 2024-02-10 15:05:33.318
6.0, -320.2551130056381, -617.2929270863533, -2066.339604318142, -196.74865686893463, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955333189044E9, 0.0, 2024-02-10 15:05:33.318
7.0, -322.8880025744438, -584.2621306777, -2009.3734481930733, -199.38154643774033, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707595533319411E9, 0.0, 2024-02-10 15:05:33.319
7.0, -333.18020725250244, -618.4896950721741, -2023.4953104257584, -222.35949176549911, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707595533319411E9, 0.0, 2024-02-10 15:05:33.319
8.0, -315.46804106235504, -632.6115573048592, -2076.8711625933647, -205.12603276968002, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707595533333663E9, 0.0, 2024-02-10 15:05:33.333
8.0, -320.2551130056381, -602.2136504650116, -2032.351393520832, -193.39770650863647, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707595533333663E9, 0.0, 2024-02-10 15:05:33.333
9.0, -338.44598639011383, -604.367832839489, -2013.681812942028, -219.48724859952927, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955333344543E9, 0.0, 2024-02-10 15:05:33.334
9.0, -319.7764058113098, -634.7657396793365, -2063.228007555008, -214.70017665624619, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955333344543E9, 0.0, 2024-02-10 15:05:33.334
10.0, -310.4416155219078, -607.479429602623, -2047.909377336502, -194.8338280916214, -1.008000047877431, -1.008000047877431, 0.6400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955333482993E9, 0.0, 2024-02-10 15:05:33.348
10.0, -337.0098648071289, -598.8627001047134, -2006.5012050271034, -214.70017665624619, -1.008000047877431, -1.008000047877431, 0.6400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955333482993E9, 0.0, 2024-02-10 15:05:33.348
11.0, -332.70150005817413, -640.0315188169479, -2059.3983500003815, -230.01880687475204, -1.008000047877431, -0.6400000303983688, 0.6400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955333640232E9, 0.0, 2024-02-10 15:05:33.364
11.0, -311.3990299105644, -616.5748662948608, -2081.1795273423195, -211.82793349027634, -1.008000047877431, -0.6400000303983688, 0.6400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7075955333640232E9, 0.0, 2024-02-10 15:05:33.364
