%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
65.0, -566.7893180847168, -723.0872170329094, -545.9655551314354, -424.134574174881, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706387777664476E9, 0.0, 2024-01-27 15:36:17.664
65.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706387777664476E9, 0.0, 2024-01-27 15:36:17.664
0.0, -472.9627079963684, -716.1459627151489, -546.2049087285995, -297.0378140807152, 0.0, 0.0, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063877777072198E9, 0.0, 2024-01-27 15:36:17.707
0.0, -591.4427385926247, -726.4381673932076, -543.811372756958, -445.4370443224907, 0.0, 0.0, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063877777072198E9, 0.0, 2024-01-27 15:36:17.707
1.0, -542.8539583683014, -734.5761896967888, -552.1887486577034, -421.74103820323944, 0.0, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063877777218528E9, 0.0, 2024-01-27 15:36:17.721
1.0, -453.57506662607193, -720.6936810612679, -554.3429310321808, -291.2933277487755, 0.0, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063877777218528E9, 0.0, 2024-01-27 15:36:17.721
2.0, -555.5396990180016, -722.1298026442528, -558.4119421839714, -401.6353360414505, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706387777736334E9, 0.0, 2024-01-27 15:36:17.736
2.0, -590.7246778011322, -747.5012839436531, -556.7364670038223, -472.4840008020401, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706387777736334E9, 0.0, 2024-01-27 15:36:17.736
3.0, -468.4149896502495, -736.9697256684303, -563.1990141272545, -329.350549697876, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063877777370768E9, 0.0, 2024-01-27 15:36:17.737
3.0, -518.4398914575577, -725.7201066017151, -553.14616304636, -345.14788711071014, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063877777370768E9, 0.0, 2024-01-27 15:36:17.737
4.0, -606.5220152139664, -737.6877864599228, -556.7364670038223, -478.46784073114395, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706387777751202E9, 0.0, 2024-01-27 15:36:17.751
4.0, -500.7277252674103, -738.8845544457436, -565.8319036960602, -376.024501144886, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706387777751202E9, 0.0, 2024-01-27 15:36:17.751
5.0, -477.98913353681564, -723.5659242272377, -554.3429310321808, -308.04807955026627, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706387777766373E9, 0.0, 2024-01-27 15:36:17.766
5.0, -596.9478713274002, -736.7303720712662, -548.3590911030769, -452.6176522374153, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706387777766373E9, 0.0, 2024-01-27 15:36:17.766
6.0, -544.5294335484505, -741.038736820221, -552.6674558520317, -427.96423172950745, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706387777767134E9, 0.0, 2024-01-27 15:36:17.767
6.0, -449.26670187711716, -718.5394986867905, -550.5132734775543, -290.0965597629547, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706387777767134E9, 0.0, 2024-01-27 15:36:17.767
7.0, -548.3590911030769, -718.5394986867905, -547.6410303115845, -394.9334353208542, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063877777806954E9, 0.0, 2024-01-27 15:36:17.780
7.0, -568.4647932648659, -726.6775209903717, -544.5294335484505, -457.8834313750267, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063877777806954E9, 0.0, 2024-01-27 15:36:17.780
8.0, -454.7718346118927, -724.7626922130585, -550.2739198803902, -318.10093063116074, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063877777974427E9, 0.0, 2024-01-27 15:36:17.797
8.0, -511.4986371397972, -719.4969130754471, -544.2900799512863, -337.72792559862137, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063877777974427E9, 0.0, 2024-01-27 15:36:17.797
9.0, -600.7775288820267, -735.2942504882812, -546.4442623257637, -475.35624396800995, -1.008000047877431, -1.008000047877431, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7063877777978592E9, 0.0, 2024-01-27 15:36:17.797
