 Timestamp, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
 1.7075957583140943E9, -216.1362982392311, -537.58817923069, -1919.3764956593513, -179.27584427595139
 1.7075957583140943E9, 0.0, 0.0, 0.0, 0.0
 1.7075957583531084E9, -236.24200040102005, -611.3090871572495, -2021.5804816484451, -215.1788838505745
 1.7075957583531084E9, -228.34333169460297, -499.5309572815895, -1832.2517862915993, -164.91462844610214
 1.7075957583678608E9, -230.7368676662445, -622.3193526268005, -1993.336757183075, -221.16272377967834
 1.7075957583678608E9, -250.84256982803345, -651.5204914808273, -2074.9563338160515, -229.54009968042374
 1.7075957583822536E9, -269.2727968096733, -542.8539583683014, -1880.8405665159225, -169.94105398654938
 1.7075957583822536E9, -250.12450903654099, -592.1607993841171, -1918.4190812706947, -191.48287773132324
 1.7075957583829882E9, -257.7838241457939, -696.5189677476883, -2105.354240655899, -237.67812198400497
 1.7075957583829882E9, -273.3418079614639, -577.7995835542679, -1951.6892312765121, -178.79713708162308
 1.707595758396567E9, -253.7148129940033, -548.1197375059128, -1865.7612898945808, -173.5313579440117
 1.707595758396567E9, -254.43287378549576, -681.6790447235107, -2068.254433095455, -236.72070759534836
 1.7075957584124067E9, -266.87926083803177, -624.2341814041138, -2020.1443600654602, -198.90283924341202
 1.7075957584124067E9, -263.76766407489777, -518.918598651886, -1846.3736485242844, -167.30816441774368
 1.7075957584130082E9, -250.36386263370514, -638.595397233963, -2002.4321938753128, -220.9233701825142
 1.7075957584130082E9, -263.28895688056946, -666.1210609078407, -2079.9827593564987, -215.89694464206696
 1.7075957584267368E9, -270.4695647954941, -542.8539583683014, -1885.3882848620415, -159.4094957113266
 1.7075957584267368E9, -250.84256982803345, -587.6130810379982, -1919.1371420621872, -201.77508240938187
 1.7075957584422812E9, -256.347702562809, -687.1841774582863, -2097.694925546646, -243.18325471878052
 1.7075957584422812E9, -261.6134817004204, -577.3208763599396, -1957.673071205616, -183.344855427742
 1.70759575844315E9, -244.61937630176544, -543.0933119654655, -1872.9418978095055, -186.456452190876
 1.70759575844315E9, -242.7045475244522, -654.8714418411255, -2047.670023739338, -236.4813539981842
 1.7075957584566472E9, -257.06576335430145, -627.8244853615761, -2039.7713550329208, -213.50340867042542
 1.7075957584566472E9, -260.17736011743546, -527.2959745526314, -1857.1445603966713, -170.41976118087769
 1.707595758472778E9, -245.3374370932579, -640.9889332056046, -2005.5437906384468, -234.32717162370682
 1.707595758472778E9, -254.6722273826599, -659.6585137844086, -2075.913748204708, -231.21557486057281
 1.7075957584730823E9, -267.59732162952423, -539.7423616051674, -1885.1489312648773, -178.55778348445892
 1.7075957584730823E9, -246.05549788475037, -589.0492026209831, -1932.5409435033798, -212.0672870874405
 1.7075957584866452E9, -255.15093457698822, -695.5615533590317, -2102.9607046842575, -241.02907234430313
 1.7075957584866452E9, -257.7838241457939, -567.2680252790451, -1942.8331481814384, -185.4990378022194
 1.7075957585023344E9, -236.72070759534836, -541.4178367853165, -1872.223837018013, -187.17451298236847
 1.7075957585023344E9, -241.50777953863144, -675.6952047944069, -2075.913748204708, -245.3374370932579
 1.7075957585029976E9, -260.8954209089279, -625.1915957927704, -2031.8726863265038, -217.09371262788773
 1.7075957585029976E9, -253.236105799675, -519.3973058462143, -1849.9639524817467, -177.36101549863815
 1.7075957585166786E9, -233.3697572350502, -630.9360821247101, -2006.7405586242676, -228.82203888893127
 1.7075957585166786E9, -250.6032162308693, -661.5733425617218, -2080.9401737451553, -226.90721011161804
 1.707595758532663E9, -253.47545939683914, -523.7056705951691, -1877.9683233499527, -175.44618672132492
 1.707595758532663E9, -233.13040363788605, -578.5176443457603, -1925.3603355884552, -207.75892233848572
 1.707595758533105E9, -248.68838745355606, -691.2531886100769, -2106.3116550445557, -245.3374370932579
 1.707595758533105E9, -264.0070176720619, -572.0550972223282, -1953.125352859497, -194.59447449445724
 1.7075957585466392E9, -252.51804500818253, -546.4442623257637, -1875.0960801839828, -194.59447449445724
 1.7075957585466392E9, -243.90131551027298, -685.0299950838089, -2074.7169802188873, -243.66196191310883
 1.7075957585624385E9, -239.5929507613182, -607.479429602623, -2012.006337761879, -193.87641370296478
 1.7075957585624385E9, -231.45492845773697, -502.1638468503952, -1826.2679463624954, -152.70759499073029
 1.707595758562984E9, -230.01880687475204, -639.5528116226196, -2007.6979730129242, -229.54009968042374
 1.707595758562984E9, -248.4490338563919, -659.6585137844086, -2077.589223384857, -224.75302773714066
 1.7075957585766127E9, -248.20968025922775, -519.8760130405426, -1870.3090082406998, -167.54751801490784
 1.7075957585766127E9, -233.60911083221436, -581.3898875117302, -1922.9667996168137, -210.15245831012726
 1.7075957585923183E9, -241.98648673295975, -681.2003375291824, -2106.790362238884, -243.42260831594467
 1.7075957585923183E9, -254.1935201883316, -558.8906493782997, -1945.22668415308, -183.58420902490616
 1.7075957585930336E9, -226.18914932012558, -531.364985704422, -1864.325168311596, -178.79713708162308
 1.7075957585930336E9, -232.17298924922943, -660.1372209787369, -2065.142836332321, -240.55036514997482
 1.7075957586067808E9, -264.0070176720619, -626.8670709729195, -2025.4101392030716, -211.10987269878387
 1.7075957586067808E9, -243.18325471878052, -513.6528195142746, -1837.996272623539, -161.80303168296814
 1.7075957586223643E9, -224.75302773714066, -630.9360821247101, -1996.687707543373, -218.52983421087265
 1.7075957586223643E9, -244.3800227046013, -653.4353202581406, -2073.0415050387383, -221.8807845711708
 1.7075957586231658E9, -247.01291227340698, -521.0727810263634, -1875.8141409754753, -168.02622520923615
 1.7075957586231658E9, -227.38591730594635, -578.5176443457603, -1931.5835291147232, -205.84409356117249
 1.7075957586366327E9, -243.42260831594467, -684.5512878894806, -2103.2000582814217, -248.20968025922775
 1.7075957586366327E9, -253.95416659116745, -568.70414686203, -1952.1679384708405, -189.32869535684586
 1.7075957586523497E9, -237.91747558116913, -542.6146047711372, -1871.9844834208488, -185.73839139938354
 1.7075957586523497E9, -230.97622126340866, -664.6849393248558, -2071.366029858589, -248.20968025922775
 1.707595758653068E9, -251.32127702236176, -621.3619382381439, -2026.128199994564, -217.8117734193802
 1.707595758653068E9, -241.26842594146729, -512.695405125618, -1842.0652837753296, -177.36101549863815
 1.707595758666612E9, -222.59884536266327, -626.8670709729195, -2006.2618514299393, -228.34333169460297
 1.707595758666612E9, -243.66196191310883, -657.264977812767, -2074.238273024559, -230.7368676662445
 1.7075957586834624E9, -243.66196191310883, -523.2269634008408, -1877.4896161556244, -171.8558827638626
 1.7075957586834624E9, -216.61500543355942, -571.3370364308357, -1924.6422747969627, -205.60473996400833
 1.707595758683545E9, -232.8910500407219, -681.4396911263466, -2096.9768647551537, -246.77355867624283
 1.707595758683545E9, -249.16709464788437, -561.5235389471054, -1939.2428442239761, -185.25968420505524
 1.7075957586969757E9, -225.94979572296143, -535.4339968562126, -1868.3941794633865, -190.76481693983078
 1.7075957586969757E9, -222.83819895982742, -669.4720112681389, -2060.116410791874, -242.94390112161636
 1.7075957587127907E9, -241.7471331357956, -615.6174519062042, -2015.5966417193413, -213.98211586475372
 1.7075957587127907E9, -227.86462450027466, -504.55738282203674, -1841.107869386673, -179.27584427595139
 1.7075957587132676E9, -228.1039780974388, -597.4265785217285, -1967.7259222865105, -223.07755255699158
 1.7075957587132676E9, -236.0026468038559, -625.9096565842628, -2026.3675535917282, -225.71044212579727
 1.7075957587268884E9, -214.93953025341034, -554.5822846293449, -1933.4983578920364, -193.15835291147232
 1.7075957587268884E9, -232.8910500407219, -583.5440698862076, -1944.0299161672592, -213.26405507326126
 1.7075957587422976E9, -240.78971874713898, -626.8670709729195, -2022.5378960371017, -226.42850291728973
 1.7075957587422976E9, -228.34333169460297, -587.8524346351624, -1967.2472150921822, -204.1686183810234
 1.707595758743062E9, -226.90721011161804, -573.7305724024773, -1933.9770650863647, -207.99827593564987
 1.707595758743062E9, -251.32127702236176, -630.2180213332176, -2023.4953104257584, -236.4813539981842
 1.7075957587567675E9, -240.78971874713898, -604.8465400338173, -2007.45861941576, -218.05112701654434
 1.7075957587567675E9, -222.83819895982742, -560.3267709612846, -1922.9667996168137, -191.00417053699493
 1.7075957587724268E9, -231.93363565206528, -598.6233465075493, -1972.5129942297935, -208.71633672714233
 1.7075957587724268E9, -233.13040363788605, -614.4206839203835, -2012.2456913590431, -221.4020773768425
 1.7075957587731478E9, -205.60473996400833, -546.922969520092, -1928.4719323515892, -187.17451298236847
 1.7075957587731478E9, -221.4020773768425, -570.140268445015, -1939.4821978211403, -196.03059607744217
 1.7075957587866027E9, -230.49751406908035, -615.1387447118759, -2011.0489233732224, -216.61500543355942
 1.7075957587866027E9, -205.12603276968002, -561.2841853499413, -1952.6466456651688, -196.98801046609879
 1.7075957588023207E9, -206.08344715833664, -547.1623231172562, -1921.2913244366646, -190.04675614833832
 1.7075957588023207E9, -231.69428205490112, -615.6174519062042, -2000.2780115008354, -217.8117734193802
 1.7075957588030424E9, -227.6252709031105, -594.5543353557587, -1986.1561492681503, -201.5357288122177
 1.7075957588030424E9, -203.2112039923668, -542.1358975768089, -1907.4088158011436, -177.36101549863815
 1.7075957588166046E9, -223.31690615415573, -584.0227770805359, -1968.443983078003, -209.4343975186348
 1.7075957588166046E9, -217.8117734193802, -596.2298105359077, -2000.0386579036713, -205.12603276968002
 1.707595758832302E9, -207.04086154699326, -553.6248702406883, -1922.9667996168137, -186.93515938520432
 1.707595758832302E9, -221.4020773768425, -573.4912188053131, -1940.9183194041252, -206.08344715833664
 1.707595758833009E9, -232.65169644355774, -611.0697335600853, -2017.5114704966545, -216.37565183639526
 1.707595758833009E9, -209.9131047129631, -563.1990141272545, -1954.8008280396461, -193.63706010580063
 1.7075957588467133E9, -211.82793349027634, -553.3855166435242, -1920.8126172423363, -187.65322017669678
 1.7075957588467133E9, -225.71044212579727, -608.1974903941154, -1999.559950709343, -214.70017665624619
 1.7075957588625233E9, -220.44466298818588, -590.0066170096397, -1987.5922708511353, -206.56215435266495
 1.7075957588625233E9, -211.34922629594803, -540.4604223966599, -1909.562998175621, -188.37128096818924
 1.7075957588630717E9, -232.17298924922943, -597.4265785217285, -1970.119458258152, -214.93953025341034
 1.7075957588630717E9, -237.19941478967667, -614.6600375175476, -2014.3998737335205, -223.79561334848404
 1.7075957588767693E9, -215.41823744773865, -558.6512957811356, -1934.455772280693, -196.03059607744217
 1.7075957588767693E9, -224.27432054281235, -581.8685947060585, -1950.2531096935272, -208.47698312997818
 1.70759575889262E9, -234.56652522087097, -617.5322806835175, -2025.6494928002357, -228.34333169460297
 1.70759575889262E9, -214.46082305908203, -571.0976828336716, -1954.561474442482, -195.3125352859497
 1.707595758893148E9, -210.15245831012726, -557.4545277953148, -1915.5468381047249, -182.62679463624954
 1.707595758893148E9, -227.38591730594635, -604.367832839489, -1993.8154643774033, -210.63116550445557
 1.7075957589069796E9, -216.37565183639526, -584.5014842748642, -1977.5394197702408, -201.77508240938187
 1.7075957589069796E9, -197.4667176604271, -538.3062400221825, -1903.339804649353, -177.36101549863815
 1.7075957589226134E9, -231.21557486057281, -596.4691641330719, -1973.4704086184502, -213.0247014760971
 1.7075957589226134E9, -230.01880687475204, -607.2400760054588, -2006.2618514299393, -211.10987269878387
 1.7075957589231243E9, -199.14219284057617, -539.5030080080032, -1915.5468381047249, -184.06291621923447
 1.7075957589231243E9, -218.52983421087265, -569.6615612506866, -1936.6099546551704, -202.97185039520264
 1.7075957589370964E9, -231.21557486057281, -614.4206839203835, -2012.2456913590431, -222.12013816833496
 1.7075957589370964E9, -207.99827593564987, -568.9435004591942, -1946.662805736065, -187.17451298236847
 1.707595758952754E9, -217.33306622505188, -560.5661245584488, -1925.120981991291, -202.73249679803848
 1.707595758952754E9, -235.04523241519928, -610.3516727685928, -2004.347022652626, -224.5136741399765
 1.7075957589532056E9, -222.83819895982742, -593.596920967102, -1984.241320490837, -200.0996072292328
 1.7075957589532056E9, -207.04086154699326, -547.6410303115845, -1912.4352413415909, -193.63706010580063
 1.70759575896702E9, -233.3697572350502, -591.921445786953, -1978.018126964569, -220.68401658535004
 1.70759575896702E9, -233.3697572350502, -609.6336119771004, -2008.1766802072525, -222.59884536266327
 1.7075957589827583E9, -212.0672870874405, -554.1035774350166, -1924.4029211997986, -188.37128096818924
 1.7075957589827583E9, -220.9233701825142, -565.592550098896, -1934.6951258778572, -198.18477845191956
 1.707595758983179E9, -236.24200040102005, -612.9845623373985, -2010.570216178894, -215.6575910449028
 1.707595758983179E9, -214.70017665624619, -572.0550972223282, -1950.9711704850197, -189.32869535684586
 1.7075957589966114E9, -205.36538636684418, -546.2049087285995, -1912.9139485359192, -187.41386657953262
 1.7075957589966114E9, -223.07755255699158, -600.0594680905342, -1996.687707543373, -215.1788838505745
 1.707595759012314E9, -217.09371262788773, -584.5014842748642, -1986.8742100596428, -207.04086154699326
 1.707595759012314E9, -208.71633672714233, -540.699775993824, -1910.7597661614418, -186.93515938520432
 1.707595759013046E9, -229.54009968042374, -600.2988216876984, -1972.9917014241219, -218.7691878080368
 1.707595759013046E9, -232.65169644355774, -612.9845623373985, -2013.9211665391922, -221.4020773768425
 1.7075957590266244E9, -226.90721011161804, -569.1828540563583, -1945.4660377502441, -205.36538636684418
 1.7075957590266244E9, -240.31101155281067, -594.5543353557587, -1959.348546385765, -219.00854140520096
 1.7075957590428255E9, -243.90131551027298, -633.5689716935158, -2033.0694543123245, -242.7045475244522
 1.7075957590428255E9, -232.8910500407219, -598.8627001047134, -1980.890370130539, -220.44466298818588
 1.7075957590434072E9, -240.55036514997482, -589.7672634124756, -1950.2531096935272, -222.12013816833496
 1.7075957590434072E9, -268.07602882385254, -657.264977812767, -2043.6010125875473, -259.21994572877884
 1.7075957590566263E9, -254.6722273826599, -631.4147893190384, -2028.2823823690414, -241.02907234430313
 1.7075957590566263E9, -252.27869141101837, -598.3839929103851, -1956.7156568169594, -223.55625975131989
 1.7075957590724666E9, -264.7250784635544, -647.6908339262009, -2009.6128017902374, -241.7471331357956
 1.7075957590724666E9, -266.1612000465393, -656.0682098269463, -2041.2074766159058, -240.07165795564651
 1.7075957590732508E9, -242.2258403301239, -587.8524346351624, -1961.2633751630783, -214.22146946191788
 1.7075957590732508E9, -253.236105799675, -603.8891256451607, -1972.9917014241219, -230.49751406908035
 1.7075957590866573E9, -262.33154249191284, -657.9830386042595, -2051.020974099636, -247.9703266620636
 1.7075957590866573E9, -240.07165795564651, -603.1710648536682, -1982.565845310688, -219.48724859952927
 1.70759575910231E9, -250.36386263370514, -593.1182137727737, -1949.0563417077065, -221.8807845711708
 1.70759575910231E9, -261.6134817004204, -647.4514803290367, -2029.7185039520264, -245.3374370932579
 1.7075957591030095E9, -251.32127702236176, -627.8244853615761, -2010.0915089845657, -228.1039780974388
 1.7075957591030095E9, -237.67812198400497, -584.7408378720284, -1945.9447449445724, -214.93953025341034
 1.7075957591166003E9, -269.2727968096733, -635.0050932765007, -2009.6128017902374, -245.09808349609375
 1.7075957591166003E9, -261.13477450609207, -647.6908339262009, -2037.3778190612793, -240.31101155281067
 1.7075957591323152E9, -247.73097306489944, -599.3414072990417, -1966.7685078978539, -221.64143097400665
 1.7075957591323152E9, -265.2037856578827, -619.2077558636665, -1996.9270611405373, -251.5606306195259
 1.7075957591330051E9, -269.99085760116577, -666.1210609078407, -2064.903482735157, -265.2037856578827
 1.7075957591330051E9, -245.3374370932579, -611.0697335600853, -1994.2941715717316, -232.65169644355774
 1.7075957591467285E9, -252.99675220251083, -600.0594680905342, -1959.8272535800934, -233.3697572350502
 1.7075957591467285E9, -270.4695647954941, -653.6746738553047, -2048.6274381279945, -262.81024968624115
 1.7075957591622543E9, -252.75739860534668, -623.5161206126213, -2025.1707856059074, -246.05549788475037
 1.7075957591622543E9, -250.6032162308693, -592.8788601756096, -1955.7582424283028, -234.32717162370682
 1.7075957591629684E9, -257.06576335430145, -630.2180213332176, -2007.6979730129242, -244.14066910743713
 1.7075957591629684E9, -251.5606306195259, -629.0212533473969, -2034.0268687009811, -241.02907234430313
 1.7075957591768048E9, -233.8484644293785, -580.4324731230736, -1954.3221208453178, -210.63116550445557
 1.7075957591768048E9, -242.2258403301239, -602.9317112565041, -1971.0768726468086, -224.27432054281235
 1.7075957591922672E9, -260.4167137145996, -647.6908339262009, -2044.0797197818756, -251.79998421669006
 1.7075957591922672E9, -241.7471331357956, -593.8362745642662, -1986.6348564624786, -225.47108852863312
 1.707595759192973E9, -234.80587881803513, -585.4588986635208, -1948.338280916214, -216.61500543355942
 1.707595759192973E9, -255.62964177131653, -639.3134580254555, -2026.6069071888924, -239.1142435669899
 1.707595759206875E9, -240.78971874713898, -609.3942583799362, -2004.5863762497902, -223.79561334848404
 1.707595759206875E9, -225.71044212579727, -571.815743625164, -1936.6099546551704, -212.5459942817688
 1.7075957592224157E9, -249.40644824504852, -616.814219892025, -1998.3631827235222, -237.19941478967667
 1.7075957592224157E9, -253.95416659116745, -633.5689716935158, -2030.9152719378471, -241.98648673295975
 1.7075957592230237E9, -229.7794532775879, -570.140268445015, -1951.6892312765121, -212.0672870874405
 1.7075957592230237E9, -235.04523241519928, -589.5279098153114, -1963.1782039403915, -221.16272377967834
 1.7075957592368383E9, -249.88515543937683, -637.1592756509781, -2029.9578575491905, -242.2258403301239
 1.7075957592368383E9, -219.96595579385757, -577.5602299571037, -1967.2472150921822, -207.04086154699326
 1.70759575925253E9, -221.4020773768425, -568.2254396677017, -1934.9344794750214, -210.63116550445557
 1.70759575925253E9, -238.6355363726616, -617.5322806835175, -2015.3572881221771, -236.4813539981842
 1.707595759253021E9, -238.6355363726616, -604.6071864366531, -1999.3205971121788, -222.35949176549911
 1.707595759253021E9, -228.34333169460297, -568.4647932648659, -1934.455772280693, -197.70607125759125
 1.7075957592666175E9, -227.86462450027466, -590.0066170096397, -1980.1723093390465, -205.60473996400833
 1.7075957592666175E9, -232.17298924922943, -598.6233465075493, -2002.910901069641, -199.62090003490448
 1.7075957592829385E9, -210.63116550445557, -538.5455936193466, -1922.2487388253212, -171.3771755695343
 1.7075957592829385E9, -224.75302773714066, -571.3370364308357, -1936.6099546551704, -184.78097701072693
 1.7075957592837057E9, -249.16709464788437, -622.0799990296364, -2006.0224978327751, -202.01443600654602
 1.7075957592837057E9, -223.07755255699158, -562.480953335762, -1935.4131866693497, -169.94105398654938
 1.7075957592965584E9, -223.79561334848404, -558.1725885868073, -1913.6320093274117, -173.77071154117584
 1.7075957592965584E9, -243.66196191310883, -610.3516727685928, -1989.0283924341202, -201.77508240938187
 1.7075957593122792E9, -219.72660219669342, -579.7144123315811, -1976.1032981872559, -186.69580578804016
 1.7075957593122792E9, -214.22146946191788, -550.5132734775543, -1911.4778269529343, -173.05265074968338
 1.7075957593130128E9, -236.72070759534836, -596.9478713274002, -1970.5981654524803, -198.66348564624786
 1.7075957593130128E9, -228.58268529176712, -596.2298105359077, -1996.687707543373, -198.4241320490837
 1.7075957593265812E9, -213.98211586475372, -558.6512957811356, -1918.897788465023, -169.94105398654938
 1.7075957593265812E9, -236.24200040102005, -579.475058734417, -1943.790562570095, -190.76481693983078
 1.7075957593419487E9, -236.24200040102005, -605.3252472281456, -2006.9799122214317, -208.71633672714233
 1.7075957593419487E9, -220.44466298818588, -567.9860860705376, -1949.2956953048706, -184.54162341356277
 1.707595759357492E9, -236.9600611925125, -607.2400760054588, -1995.9696467518806, -209.19504392147064
 1.707595759357492E9, -223.55625975131989, -582.586655497551, -1978.4968341588974, -198.18477845191956
 1.707595759357999E9, -214.46082305908203, -553.14616304636, -1920.333910048008, -182.3874410390854
 1.707595759357999E9, -242.46519392728806, -604.1284792423248, -1976.1032981872559, -205.60473996400833
 1.7075957593716817E9, -234.56652522087097, -605.8039544224739, -2005.3044370412827, -212.30664068460464
 1.7075957593716817E9, -214.46082305908203, -552.4281022548676, -1929.4293467402458, -186.69580578804016
 1.707595759387306E9, -236.4813539981842, -581.3898875117302, -1945.7053913474083, -202.97185039520264
 1.707595759387306E9, -248.92774105072021, -625.1915957927704, -2011.5276305675507, -213.0247014760971
 1.707595759387986E9, -214.70017665624619, -570.140268445015, -1950.2531096935272, -184.54162341356277
 1.707595759387986E9, -229.54009968042374, -566.0712572932243, -1929.9080539345741, -193.63706010580063
 1.7075957594016027E9, -247.9703266620636, -621.3619382381439, -2004.347022652626, -212.78534787893295
 1.7075957594016027E9, -225.94979572296143, -594.3149817585945, -1982.8051989078522, -199.38154643774033
 1.7075957594172623E9, -218.52983421087265, -551.7100414633751, -1924.6422747969627, -192.91899931430817
 1.7075957594172623E9, -238.15682917833328, -599.82011449337, -1972.2736406326294, -206.08344715833664
 1.7075957594179873E9, -237.19941478967667, -609.8729655742645, -2000.5173650979996, -210.3918119072914
 1.7075957594179873E9, -213.26405507326126, -558.1725885868073, -1923.9242140054703, -178.31842988729477
 1.7075957594315925E9, -231.45492845773697, -579.2357051372528, -1941.3970265984535, -192.2009385228157
 1.7075957594315925E9, -236.24200040102005, -608.9155511856079, -2009.3734481930733, -212.5459942817688
 1.7075957594478621E9, -215.41823744773865, -568.2254396677017, -1947.3808665275574, -185.4990378022194
 1.7075957594478621E9, -216.61500543355942, -564.3957821130753, -1921.5306780338287, -187.89257377386093
 1.7075957594481752E9, -237.19941478967667, -612.2665015459061, -1993.8154643774033, -213.50340867042542
 1.7075957594481752E9, -226.6678565144539, -583.5440698862076, -1979.454248547554, -199.14219284057617
 1.7075957594619367E9, -213.98211586475372, -550.7526270747185, -1914.5894237160683, -183.344855427742
 1.7075957594619367E9, -234.56652522087097, -594.5543353557587, -1973.9491158127785, -204.88667917251587
 1.7075957594772313E9, -234.80587881803513, -607.2400760054588, -1998.6025363206863, -210.3918119072914
